% Model,Trumpet5.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 2 2023, 11:10"
% Table,Table 1 - Line Integration 1
% freq (Hz),20*log10(acpr.p_t_rms)/20*log10(acpr.v_rms),20*log10(acpr2.p_t_rms)/20*log10(acpr2.v_rms),20*log10(acpr3.p_t_rms)/20*log10(acpr3.v_rms),20*log10(acpr4.p_t_rms)/20*log10(acpr4.v_rms)
334.11764705882354,3.63250307566774E-5,3.3924966967288205E-5,1.1294131973912545E-4,1.0859180335159958E-4
338.62745098039215,3.501869647645947E-5,3.267044629038634E-5,1.1338545330607132E-4,1.0976720263264449E-4
343.1372549019608,3.3788436293228226E-5,3.136092790590574E-5,1.1383855322661995E-4,1.1085943351716505E-4
347.6470588235294,3.2566228215515414E-5,2.990829093724425E-5,1.1430138353247636E-4,1.1190666888471969E-4
352.156862745098,3.1286309796760556E-5,2.8170052696471864E-5,1.1477478170230276E-4,1.1293752777765758E-4
356.6666666666667,2.9865839092776265E-5,2.58440943810588E-5,1.1525967018573242E-4,1.1397632896151225E-4
361.1764705882353,2.8171088087264796E-5,2.197162153071634E-5,1.1575707022349214E-4,1.1504671481290095E-4
365.6862745098039,2.5923242767458773E-5,3.6601004469915847E-6,1.1626811855478577E-4,1.1617495354439998E-4
370.19607843137254,2.2275980755965528E-5,2.230873677676444E-5,1.1679408779904147E-4,1.1739401134655624E-4
374.70588235294116,6.3868525149092874E-6,2.601841210329817E-5,1.1733641156132185E-4,1.1874996184908752E-4
379.2156862745098,2.1685786452710213E-5,2.8293073819793247E-5,1.1789671568551055E-4,1.2031400887188463E-4
383.72549019607845,2.5620585765668123E-5,3.0008359432243593E-5,1.1847685762376292E-4,1.2220873584393126E-4
388.2352941176471,2.7960272240857634E-5,3.1450027180016395E-5,1.1907897667592625E-4,1.2467689223351106E-4
392.7450980392157,2.96974679009543E-5,3.2755459120441434E-5,1.1970555904847533E-4,1.283242646360376E-4
397.2549019607843,3.1139905881461655E-5,3.401111896671016E-5,1.2035952350221654E-4,1.3614475881996584E-4
401.7647058823529,3.2430573424667626E-5,3.528804484560658E-5,1.2104433625053812E-4,1.430612270377459E-4
406.27450980392155,3.3655733392124146E-5,3.666368997292587E-5,1.2176416846539819E-4,1.3883618864025097E-4
410.78431372549016,3.4881977919269157E-5,3.824915520261346E-5,1.2252411772403388E-4,1.2371203757771863E-4
415.29411764705884,3.6176203051911596E-5,4.0251407277492545E-5,1.2333052875009728E-4,1.1172494801397754E-4
419.80392156862746,3.762581786983733E-5,4.3199466038213355E-5,1.2419147487614343E-4,9.41940181680343E-5
424.3137254901961,3.9376912022446677E-5,4.974280987065759E-5,1.2511751295166896E-4,9.510331742986733E-5
428.8235294117647,4.174710752712054E-5,4.807885994161822E-5,1.261229331631345E-4,1.0596486296386213E-4
433.3333333333333,4.578198846844123E-5,4.263670348451554E-5,1.2722797772614676E-4,1.1092842275203668E-4
437.84313725490193,5.829107793126898E-5,3.989936212622726E-5,1.2846316204953595E-4,1.1425467885782478E-4
442.3529411764706,4.482252774840025E-5,3.7981013250510634E-5,1.2987885224698535E-4,1.1689347761202119E-4
446.8627450980392,4.125571469934716E-5,3.643599484600203E-5,1.315710377239584E-4,1.1921867211025693E-4
451.37254901960785,3.9034741988967195E-5,3.507937478770054E-5,1.3377798696734476E-4,1.2143101750444635E-4
455.88235294117646,3.735259329005524E-5,3.3807577557777344E-5,1.3770235946916815E-4,1.23675783342079E-4
460.3921568627451,3.593866608493488E-5,3.25451628226732E-5,1.3805123686742643E-4,1.261031053286753E-4
464.9019607843137,3.4661914114395234E-5,3.121949710634168E-5,1.3795943364719443E-4,1.289479038616021E-4
469.4117647058824,3.344048503039323E-5,2.9737774970235743E-5,1.3958421949355804E-4,1.3285198959377047E-4
473.921568627451,3.2208831245393584E-5,2.7945402001095245E-5,1.4512136486600938E-4,1.3805273251062288E-4
478.4313725490196,3.089853415739464E-5,2.5501818833265914E-5,1.417547605876535E-4,1.389151354185968E-4
482.94117647058823,2.9416906231646363E-5,2.1238563804249465E-5,1.4066689079780933E-4,1.4210851243014612E-4
487.45098039215685,2.7603524924658753E-5,1.2362913405123384E-5,1.4184322917877733E-4,1.416032209775295E-4
491.96078431372547,2.5093744720271736E-5,2.297385010013098E-5,1.4175340952271535E-4,1.4293878958573008E-4
496.4705882352941,2.0567784699923063E-5,2.639117716351558E-5,1.4219095895554861E-4,1.3782602108362613E-4
500.98039215686276,1.4127034386561939E-5,2.8569085190363834E-5,1.3965054555106397E-4,1.3872434899036786E-4
505.4901960784314,2.3116699003708228E-5,3.0241224297917507E-5,1.3796559504065584E-4,1.3543120377866442E-4
510,2.6383770289630507E-5,3.1663593269970055E-5,1.3724066120724565E-4,1.3438944093654187E-4
514.5098039215686,2.8499805247953962E-5,3.296427547664382E-5,1.3718307853847426E-4,1.3037462315114372E-4
519.0196078431372,3.0131979196241757E-5,3.42270965843977E-5,1.3824918586589067E-4,1.2506956567560172E-4
523.5294117647059,3.151992268588197E-5,3.552417850633588E-5,1.3879860838868186E-4,1.2084116515667302E-4
528.0392156862745,3.278434871828377E-5,3.693824604815127E-5,1.3596391816466646E-4,1.1617191337423684E-4
532.5490196078431,3.4003318212022073E-5,3.8594157421950316E-5,1.3478201409267162E-4,1.094417416065811E-4
537.0588235294117,3.524170411290495E-5,4.0738140859430865E-5,1.3425064999445562E-4,9.140759330154953E-5
541.5686274509803,3.6569857253319744E-5,4.4059863646272444E-5,1.3460378033244356E-4,1.0557348874621361E-4
546.078431372549,3.8086546496915525E-5,5.343664361893485E-5,1.34072834178414E-4,1.1859704916103359E-4
550.5882352941176,3.996887343146422E-5,4.629146428752604E-5,1.3378103414022854E-4,1.2998198285303622E-4
555.0980392156863,4.263904673071057E-5,4.1872248378498495E-5,1.3191530676826487E-4,1.4277563809365193E-4
559.6078431372549,4.7809399065955414E-5,3.9381291098474476E-5,1.307510473897093E-4,1.3981905957819436E-4
564.1176470588235,5.056410491617816E-5,3.7564810369456944E-5,1.3039033826213415E-4,1.3620853752073479E-4
568.6274509803922,4.355560218186258E-5,3.606710780976208E-5,1.293271149940697E-4,1.3853139950486583E-4
573.1372549019608,4.0537363116349375E-5,3.472848710972715E-5,1.2789589660737628E-4,1.3396605656045146E-4
577.6470588235294,3.851452030991417E-5,3.345351797109097E-5,1.2693595827314725E-4,1.3425444738490022E-4
582.156862745098,3.692769992121514E-5,3.216742501926645E-5,1.2605132652547372E-4,1.3275266851424058E-4
586.6666666666666,3.556330439702286E-5,3.079198351810081E-5,1.2517106000504855E-4,1.2993071079788312E-4
591.1764705882352,3.430958065036981E-5,2.921847024518676E-5,1.2441881338945423E-4,1.279458964635851E-4
595.6862745098039,3.309169993871826E-5,2.7249393974117815E-5,1.2374043060607175E-4,1.260466862440396E-4
600.1960784313726,3.184510120899208E-5,2.4395843175187554E-5,1.231169612455576E-4,1.243483678289191E-4
604.7058823529412,3.0497059897696574E-5,1.846452706476285E-5,1.2253762476926942E-4,1.230213096079638E-4
609.2156862745098,2.8941802834352153E-5,1.882366162090176E-5,1.2199519574132023E-4,1.2185510497004345E-4
613.7254901960785,2.6982709565904833E-5,2.452846051040932E-5,1.2148441207477832E-4,1.2078062661590198E-4
618.2352941176471,2.412618082864392E-5,2.7338503584890044E-5,1.210012413349788E-4,1.1975283757776077E-4
622.7450980392157,1.8065188097924562E-5,2.929298612282696E-5,1.2054248372659978E-4,1.1873256884690236E-4
627.2549019607843,1.8441740732739132E-5,3.086262481628329E-5,1.2010553425749853E-4,1.176761817132369E-4
631.7647058823529,2.4253811140218686E-5,3.224043658554446E-5,1.1968822984772538E-4,1.1652312450591415E-4
636.2745098039215,2.7061917559078383E-5,3.353419842477186E-5,1.192887457969578E-4,1.1517171106048973E-4
640.7843137254902,2.9001382775022815E-5,3.4822937124364775E-5,1.1890552280698512E-4,1.1341648206765467E-4
645.2941176470588,3.05468119707872E-5,3.618405840299789E-5,1.1853721386978096E-4,1.1073565462889424E-4
649.8039215686274,3.188974920310336E-5,3.7718952266592003E-5,1.1818264458693197E-4,1.0518498376960967E-4
654.313725490196,3.313415827516641E-5,3.960153653875131E-5,1.1784078286957812E-4,9.641976284841902E-5
658.8235294117648,3.435213826504131E-5,4.222814944132805E-5,1.1751071536696657E-4,1.2627007849948065E-4
663.3333333333334,3.56082911678742E-5,4.6971031098101567E-5,1.1719162883488581E-4,1.3164465516706656E-4
667.843137254902,3.697818433668476E-5,4.909943919597901E-5,1.1688279520190093E-4,1.277781225220357E-4
672.3529411764706,3.857563973735484E-5,4.3143860452127365E-5,1.1658355945241093E-4,1.2363099268787754E-4
676.8627450980392,4.0620200488592735E-5,4.017803618356357E-5,1.1629332968901707E-4,1.2126484968535827E-4
681.3725490196078,4.369509122087373E-5,3.815126935645631E-5,1.1601156890152624E-4,1.1979060604757896E-4
685.8823529411765,5.1086299408035384E-5,3.65422568611179E-5,1.1573778809143867E-4,1.1871556270009442E-4
690.3921568627451,4.751639116785712E-5,3.514165174215008E-5,1.1547154048308748E-4,1.1786129927853514E-4
694.9019607843137,4.252189776501132E-5,3.383559252862175E-5,1.1521241661393327E-4,1.1714369924365359E-4
699.4117647058823,3.989307980922163E-5,3.25433932018119E-5,1.1496004014461014E-4,1.1651681978152494E-4
703.9215686274509,3.802824941295276E-5,3.118955837076752E-5,1.1471406426122922E-4,1.1595285191694674E-4
708.4313725490196,3.652040948129087E-5,2.9681041916709764E-5,1.1447416856871755E-4,1.1543348522131342E-4
712.9411764705882,3.519677727392657E-5,2.7872572567732667E-5,1.1424005639560313E-4,1.1494566705158429E-4
717.4509803921569,3.396015091725596E-5,2.5495812561636607E-5,1.1401145244412966E-4,1.144792712304829E-4
721.9607843137255,3.274069224680593E-5,2.220206797110542E-5,1.1378810073232507E-4,1.1402564495821727E-4
726.4705882352941,3.14733993805498E-5,2.1375002287081546E-5,1.135697627850176E-4,1.1357653565753822E-4
730.9803921568628,3.007934367343982E-5,2.473411591201587E-5,1.1335621603722665E-4,1.1312309932458237E-4
735.4901960784314,2.8435434895390433E-5,2.7302397930668218E-5,1.1314725241999161E-4,1.1265474335438428E-4
740,2.6295013716576884E-5,2.9200032235256685E-5,1.1294267710383081E-4,1.1215752357220201E-4
744.5098039215686,2.296035475985258E-5,3.073870909360481E-5,1.127423073785429E-4,1.1161176492667562E-4
749.0196078431372,1.3264478855969051E-5,3.208167421477397E-5,1.125459716515988E-4,1.109888982279669E-4
753.5294117647059,2.080654960019169E-5,3.3323588342922266E-5,1.123535085501986E-4,1.102508201622965E-4
