% Model,Trumpet6.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 8 2023, 17:46"
% Dimension,1
% Nodes,256
% Expressions,1
% Description,Global
% freq (Hz),|Z_in Tube|, 
50,31.048939352037873
54.509803921568626,33.08220980904147
59.01960784313725,36.748236575310315
63.529411764705884,41.97937716272041
68.0392156862745,34.68684647701857
72.54901960784314,32.0388657856732
77.05882352941177,30.324001086561744
81.56862745098039,29.001322128749024
86.07843137254902,27.876584199504197
90.58823529411765,26.85194693995607
95.09803921568627,25.86414321034217
99.6078431372549,24.860594310900282
104.11764705882354,23.78427870650281
108.62745098039215,22.555133229661095
113.13725490196079,21.029575711949672
117.6470588235294,18.86521759050718
122.15686274509804,14.672377493837327
126.66666666666667,12.452978278160906
131.1764705882353,18.126750267004034
135.68627450980392,20.571474151401752
140.19607843137254,22.21018834292307
144.70588235294116,23.495786035888816
149.2156862745098,24.60125102240678
153.72549019607843,25.617106038259138
158.23529411764707,26.60397863750603
162.7450980392157,27.614193379690963
167.2549019607843,28.706712114335758
171.76470588235293,29.96732354384306
176.27450980392157,31.555570100897462
180.7843137254902,33.87225711015299
185.2941176470588,38.79508623012248
189.80392156862746,38.45847620155639
194.31372549019608,33.75813787572199
198.8235294117647,31.48465584957659
203.33333333333334,29.913885261059
207.84313725490196,28.66199306801586
212.35294117647058,27.573971983828244
216.86274509803923,26.56564906370706
221.37254901960785,25.578619891264314
225.88235294117646,24.560520759643488
230.39215686274508,23.450058999826197
234.90196078431373,22.154851173920704
239.41176470588235,20.49656462240653
243.92156862745097,18.000820635317435
248.4313725490196,11.980335292972606
252.94117647058823,14.933677239493637
257.45098039215685,18.969438477198764
261.9607843137255,21.09673812109453
266.47058823529414,22.606581656288366
270.98039215686276,23.82775680279812
275.4901960784314,24.89998099380284
280,25.901914939260063
284.5098039215686,26.890122042632356
289.01960784313724,27.917298551809914
293.52941176470586,29.047493606917307
298.0392156862745,30.38068981153551
302.54901960784315,32.11747362807919
307.05882352941177,34.8264259734315
311.5686274509804,42.77205433089536
316.078431372549,36.53401146516758
320.5882352941176,32.985400844630234
325.0980392156863,30.98413525819236
329.6078431372549,29.529029719406694
334.11764705882354,28.33576519301146
338.62745098039215,27.277693643590993
343.1372549019608,26.280934964659753
347.6470588235294,25.290410866268545
352.156862745098,24.252792713633035
356.6666666666667,23.100802040282762
361.1764705882353,21.725677942083614
365.6862745098039,19.900268119566697
370.19607843137254,16.932825723053053
374.70588235294116,3.5677270213706795
379.2156862745098,16.508527251988564
383.72549019607845,19.682612926809963
388.2352941176471,21.574026097066504
392.7450980392157,22.979642133701077
397.2549019607843,24.14740202024205
401.7647058823529,25.19272318476007
406.27450980392155,26.185343185752625
410.78431372549016,27.179186405151782
415.29411764705884,28.228520020412798
419.80392156862746,29.404374525186782
424.3137254901961,30.82566724486214
428.8235294117647,32.75149761935921
433.3333333333333,36.0385427674735
437.84313725490193,45.80315139957021
442.3529411764706,35.197852844298836
446.8627450980392,32.32105293823536
451.37254901960785,30.525928989353993
